SAMPLES,Baya.C,Baya.C.GEBV,Baya.H,Baya.H.GEBV,Baya.L,Baya.L.GEBV,PriBrote.C,PriBrote.C.GEBV,PriBrote.H,PriBrote.H.GEBV,PriBrote.L,PriBrote.L.GEBV,PriFlor.C,PriFlor.C.GEBV,PriFlor.H,PriFlor.H.GEBV,PriFlor.L,PriFlor.L.GEBV,PriTuber.C,PriTuber.C.GEBV,PriTuber.H,PriTuber.H.GEBV,PriTuber.L,PriTuber.L.GEBV,Pulpa.C,Pulpa.C.GEBV,Pulpa.H,Pulpa.H.GEBV,Pulpa.L,Pulpa.L.GEBV,SecBrote.C,SecBrote.C.GEBV,SecBrote.H,SecBrote.H.GEBV,SecBrote.L,SecBrote.L.GEBV,SecTuber.C,SecTuber.C.GEBV,SecTuber.H,SecTuber.H.GEBV,SecTuber.L,SecTuber.L.GEBV,Tallo.C,Tallo.C.GEBV,Tallo.H,Tallo.H.GEBV,Tallo.L,Tallo.L.GEBV
15061778,46.013,44,117.605,117,58.99539,54,31.51,58,311.08,322,35.4,43,52.529,58,324.089,322,45.065,43,19.166,11,214.646,318,40.529,28,17.151,42,88.087,96,86.598,80,11.691,7,170.749,318,85.978,96,35.642,41,61.831,86,70.382,80,27.367,16,245.976,359,39.908,28
15061718,45.386,44,117.47,128,56.42314,54,26.91,26,319.706,307,31.706,33,47.657,40,307.557,305,49.09,59,16.218,11,197.442,318,33.321,28,11.824,6,81.279,71,86.595,92,7.231,7,201.086,318,93.355,96,40.238,36,40.398,83,75.222,79,35.771,21,173.103,132,47.116,49
15061486,46.013,44,117.231,117,61.06163,54,28.864,26,317.469,314,31.698,33,47.151,45,324.771,310,37.452,58,23.38,8,153.784,313,52.518,29,3.287,6,91.279,88,91.493,92,4.536,7,178.228,318,94.844,96,28.756,35,181.248,86,51.835,80,28.194,44,251.238,117,38.481,54
15060214,44.263,44,116.746,117,59.22339,54,44.828,53,319.253,315,34.593,62,35.251,39,249.459,321,53.638,36,34.135,47,51.798,85,67.269,76,7.379,6,79.328,71,89.063,92,7.248,7,113.549,318,93.941,95,35.672,37,92.875,12,57.086,41,42.319,44,122.36,117,53.504,54
15061333,46.013,44,116.006,117,60.24203,54,29.497,28,308.306,306,25.023,27,46.841,45,303.234,305,45.969,52,26.142,8,176.394,313,40.342,29,12.9,18,89.606,90,86.346,84,4.176,7,210.617,318,93.661,96,33.443,36,169.281,96,58.281,30,36.049,44,142.596,117,50.404,54
15061962,46.013,44,115.907,117,59.03326,54,40.031,55,321.408,328,42.718,52,46.276,49,320.39,320,54.988,54,41.133,35,36.211,83,65.72,75,8.833,6,76.413,71,88.244,92,6.715,4,200.212,41,93.101,94,35.526,29,60.421,17,54.861,50,43.748,44,109.569,117,54.173,54
15061624,44.263,44,116.375,117,58.56501,54,24.003,55,309.926,329,27.172,36,50.362,40,320.716,308,44.773,38,18.034,39,164.07,17,33.985,43,6.397,6,74.865,71,90.192,92,4.859,4,162.619,41,96.778,94,37.132,42,98.891,96,76.584,80,23.038,44,279.532,117,36.07,54
15061282,44.263,32,116.076,112,55.96567,58,37.046,28,318.921,306,34.49,27,50.598,58,319.545,322,45.796,43,27.812,26,159.957,342,45.156,50,8.076,6,72.071,71,90.561,92,5.908,7,249.378,318,97.304,96,31.59,6,104.737,71,73.046,92,41.338,44,121.794,117,52.741,54
15061529,46.574,48,116.295,118,60.4939,66,24.976,26,310.553,314,28.817,33,16.547,6,124.373,71,76.676,92,21.579,11,169.196,328,45.703,30,18.878,18,88.846,90,86.961,84,8.928,7,241.055,318,95.381,96,34.162,39,137.39,86,60.298,80,33.758,44,150.319,117,49.665,54
15061935,46.013,59,115.907,106,58.98675,69,43.66,57,322.196,347,43.4,54,46.276,55,320.39,329,54.988,36,41.133,37,36.211,18,65.72,42,8.833,6,76.681,71,88.244,92,6.715,4,200.212,41,92.502,94,35.526,41,60.421,86,54.861,80,43.748,44,109.569,117,54.173,54
15061568,46.013,44,117.516,117,58.36452,54,33.902,49,321.354,320,30.332,54,50.783,58,320.362,322,50.003,43,34.083,42,59.232,96,33.504,80,11.298,18,84.296,90,86.463,84,7.109,4,154.029,41,93.024,94,35.448,37,129.602,18,66.884,42,38.487,44,160.563,117,50.546,54
15061491,46.013,59,117.605,106,59.05298,69,31.51,58,311.08,336,35.4,48,52.529,58,324.089,322,45.065,43,19.166,11,207.443,328,40.529,30,17.151,18,88.087,90,86.598,84,11.691,7,170.749,318,86.15,95,35.642,41,61.831,86,70.382,80,27.367,16,245.976,359,39.908,28
15061318,46.013,44,117.086,117,58.12205,54,25.96,20,312.398,307,25.522,26,46.547,55,317.28,329,44.333,36,28.297,11,211.507,328,45.229,30,10.759,6,86.61,71,90.062,92,6.691,4,189.099,41,94.606,94,34.52,41,149.16,41,69.683,82,42.513,44,191.231,117,49.592,54
