qqPrefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.158415536419382
CBaya,C,BA,CBaya.C,0.164267064957131
CBaya,C,BA,CBaya.C,0.155053169527988
CBaya,C,BA,CBaya.C,0.197399709621574
CBaya,C,BA,CBaya.C,0.24351579290065
CBaya,C,BA,CBaya.C,0.217115540770985
CBaya,C,BA,CBaya.C,0.239559270160659
CBaya,C,BA,CBaya.C,0.260468473896428
CBaya,C,BA,CBaya.C,0.217411317043182
CBaya,C,BA,CBaya.C,0.222103580136853
CBaya,C,BA,CBaya.C,0.230416854225026
CBaya,C,BA,CBaya.C,0.241160582262809
CBaya,C,BA,CBaya.C,0.322859612673094
CBaya,C,BA,CBaya.C,0.229003080141033
CBaya,C,BA,CBaya.C,0.173019730227687
CBaya,C,BA,CBaya.C,0.167731653384907
CBaya,C,BA,CBaya.C,0.168353586419491
CBaya,C,BA,CBaya.C,0.178990935928774
CBaya,C,BA,CBaya.C,0.135355081435945
CBaya,C,BA,CBaya.C,0.152443677703206
CBaya,C,BA,CBaya.C,0.151789753178101
CBaya,C,BA,CBaya.C,0.157993337341231
CBaya,C,BA,CBaya.C,0.168367044877477
CBaya,C,BA,CBaya.C,0.182383511395555
CBaya,C,BA,CBaya.C,0.14662245774016
CBaya,C,BA,CBaya.C,0.139341771570806
CBaya,C,BA,CBaya.C,0.151950407191198
CBaya,C,BA,CBaya.C,0.160973151069467
CBaya,C,BA,CBaya.C,0.184327749350458
CBaya,C,BA,CBaya.C,0.147035263250038
CBaya,C,BA,CBaya.C,0.149919998309136
CBaya,C,BA,CBaya.C,0.129919023819733
CBaya,C,BA,CBaya.C,0.112130572344092
CBaya,C,BA,CBaya.C,0.146539619982192
CBaya,C,BA,CBaya.C,0.17365450948861
CBaya,C,BA,CBaya.C,0.201224950616357
CBaya,C,BA,CBaya.C,0.235003220459685
CBaya,C,BA,CBaya.C,0.192615439691377
CBaya,C,BA,CBaya.C,0.198094956327491
CBaya,C,BA,CBaya.C,0.164780285517647
CBaya,C,BA,CBaya.C,0.204383946261609
CBaya,C,BA,CBaya.C,0.202533550406917
CBaya,C,BA,CBaya.C,0.190856621787732
CBaya,C,BA,CBaya.C,0.224030624966899
CBaya,C,BA,CBaya.C,0.189002252427032
CBaya,C,BA,CBaya.C,0.18950138511069
CBaya,C,BA,CBaya.C,0.149398360701062
CBaya,C,BA,CBaya.C,0.18065509141976
CBaya,C,BA,CBaya.C,0.164632629023607
CBaya,C,BA,CBaya.C,0.1716913762304
CBaya,C,BA,CBaya.C,0.196983156799411
CBaya,C,BA,CBaya.C,0.187193934181065
CBaya,C,BA,CBaya.C,0.211940369952621
CBaya,C,BA,CBaya.C,0.235515927367602
CBaya,C,BA,CBaya.C,0.202849540053385
CBaya,C,BA,CBaya.C,0.172721841007544
CBaya,C,BA,CBaya.C,0.171941879395683
CBaya,C,BA,CBaya.C,0.214572631450648
CBaya,C,BA,CBaya.C,0.152483143000284
