"","Prefix","CHL_Components","Traits","Models","Predictive_Ability"
"368","PCSprout","L","PCSprout.L","BA",0.5
"369","PCSprout","L","PCSprout.L","BA",0.355
"370","PCSprout","L","PCSprout.L","BA",0.51
"371","PCSprout","L","PCSprout.L","BA",0.545
"372","PCSprout","L","PCSprout.L","BA",0.422
"373","PCSprout","L","PCSprout.L","BA",0.287
"374","PCSprout","L","PCSprout.L","BA",0.442
"375","PCSprout","L","PCSprout.L","BA",0.477
"376","PCSprout","L","PCSprout.L","BB",0.418
"377","PCSprout","L","PCSprout.L","BB",0.374
"378","PCSprout","L","PCSprout.L","BB",0.341
"379","PCSprout","L","PCSprout.L","BB",0.466
"380","PCSprout","L","PCSprout.L","BB",0.599
"381","PCSprout","L","PCSprout.L","BB",0.525
"382","PCSprout","L","PCSprout.L","BB",0.513
"383","PCSprout","L","PCSprout.L","BB",0.501
"384","PCSprout","L","PCSprout.L","BB",0.362
"385","PCSprout","L","PCSprout.L","BB",0.456
"386","PCSprout","L","PCSprout.L","BB",0.515
"387","PCSprout","L","PCSprout.L","BB",0.4
"388","PCSprout","L","PCSprout.L","BB",0.428
"389","PCSprout","L","PCSprout.L","BB",0.36
"390","PCSprout","L","PCSprout.L","BB",0.403
"391","PCSprout","L","PCSprout.L","BB",0.54
"392","PCSprout","L","PCSprout.L","BB",0.569
"393","PCSprout","L","PCSprout.L","BB",0.407
"394","PCSprout","L","PCSprout.L","BB",0.575
"395","PCSprout","L","PCSprout.L","BB",0.264
"396","PCSprout","L","PCSprout.L","BB",0.412
"397","PCSprout","L","PCSprout.L","BB",0.508
"398","PCSprout","L","PCSprout.L","BB",0.342
"399","PCSprout","L","PCSprout.L","BB",0.403
"400","PCSprout","L","PCSprout.L","BB",0.548
"401","PCSprout","L","PCSprout.L","BC",0.499
"402","PCSprout","L","PCSprout.L","BC",0.339
"403","PCSprout","L","PCSprout.L","BC",0.518
"404","PCSprout","L","PCSprout.L","BC",0.445
"405","PCSprout","L","PCSprout.L","BC",0.432
"406","PCSprout","L","PCSprout.L","BC",0.4
"407","PCSprout","L","PCSprout.L","BC",0.352
"408","PCSprout","L","PCSprout.L","BC",0.517
"409","PCSprout","L","PCSprout.L","BC",0.422
"410","PCSprout","L","PCSprout.L","BC",0.575
"411","PCSprout","L","PCSprout.L","BC",0.405
"412","PCSprout","L","PCSprout.L","BC",0.447
"413","PCSprout","L","PCSprout.L","BC",0.361
"414","PCSprout","L","PCSprout.L","BC",0.533
"415","PCSprout","L","PCSprout.L","BC",0.605
"416","PCSprout","L","PCSprout.L","BC",0.595
"417","PCSprout","L","PCSprout.L","BC",0.353
"418","PCSprout","L","PCSprout.L","BC",0.433
"419","PCSprout","L","PCSprout.L","BC",0.517
"420","PCSprout","L","PCSprout.L","BC",0.455
"421","PCSprout","L","PCSprout.L","BC",0.387
"422","PCSprout","L","PCSprout.L","BC",0.419
"423","PCSprout","L","PCSprout.L","BC",0.483
"424","PCSprout","L","PCSprout.L","BC",0.445
"425","PCSprout","L","PCSprout.L","BC",0.385
"426","PCSprout","L","PCSprout.L","BL",0.338
"427","PCSprout","L","PCSprout.L","BL",0.401
"428","PCSprout","L","PCSprout.L","BL",0.441
"429","PCSprout","L","PCSprout.L","BL",0.364
"430","PCSprout","L","PCSprout.L","BL",0.481
"431","PCSprout","L","PCSprout.L","BL",0.343
"432","PCSprout","L","PCSprout.L","BL",0.505
"433","PCSprout","L","PCSprout.L","BL",0.414
"434","PCSprout","L","PCSprout.L","BL",0.453
"435","PCSprout","L","PCSprout.L","BL",0.446
"436","PCSprout","L","PCSprout.L","BL",0.356
"437","PCSprout","L","PCSprout.L","BL",0.471
"438","PCSprout","L","PCSprout.L","BL",0.485
"439","PCSprout","L","PCSprout.L","BL",0.493
"440","PCSprout","L","PCSprout.L","BL",0.437
"441","PCSprout","L","PCSprout.L","BL",0.377
"442","PCSprout","L","PCSprout.L","BL",0.539
"443","PCSprout","L","PCSprout.L","BL",0.376
"444","PCSprout","L","PCSprout.L","BL",0.411
"445","PCSprout","L","PCSprout.L","BL",0.542
