SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061361,44.553,44,117.375,117,57.549,54,24.581,20,307.032,307,29.635,26,47.999,58,320.188,322,46.412,43,28.165,28,83.931,21,36.462,34,17.352,18,84.004,90,85.504,84,5.481,7,94.837,96,37.28,41,129.435,90,72.059,75,36.90699,44,161.248,117,48.75,54
15061515,44.614,32,118.212,112,57.795,58,25.186,26,309.434,314,33.434,33,14.549,6,81.95,71,82.467,92,29.963,29,160.035,17,56.329,35,19.449,18,84.577,90,85.922,84,5.694,7,93.53,96,35.186,31,105.413,53,71.47491,73,34.03031,19,165.081,134,47.617,45
15062123,47.649,44,115.977,117,61.545,54,31.015,20,312.771,307,31.476,26,52.714,45,321.483,310,41.595,58,30.471,35,87.511,83,66.157,75,17.424,6,74.303,71,85.955,92,6.311,4,94.715,94,33.867,37,40.457,18,65.11868,42,44.73135,44,97.356,117,55.24,54
15061358,46.688,38,116.381,132,60.879,53,28.581,28,310.237,306,32.859,27,43.089,40,311.611,314,58.348,48,30.896,41,127.609,86,49.129,80,20.79,18,92.514,90,84.258,84,6.311,7,95.002,96,35.674,36,102.214,346,60.41977,42,36.57725,44,141.615,117,51.098,54
15061428,48.873,48,115.558,118,61.545,66,53.079,58,323.219,336,45.296,48,51.104,49,322.393,320,46.957,54,34.505,32,61.9,14,48.383,38,20.225,18,89.394,90,84.401,84,5.967,4,94.944,94,38.731,42,92.247,96,69.09662,80,42.76642,44,136.543,117,52.832,54
15061496,44.342,44,116.394,117,58.811,54,26.382,26,317.423,314,30.371,33,49.249,58,319.119,312,42.984,33,30.619,28,125.643,22,42.412,39,14.938,6,90.065,71,86.61,92,7.04,7,97.34,96,35.927,41,86.813,86,71.44221,80,31.84245,16,223.967,359,39.036,28
15061648,47.708,48,116.577,118,60.631,66,43.632,20,323.219,307,39.636,26,49.207,58,322.93,322,46.849,43,23.737,11,89.306,318,40.294,28,21.009,18,98.835,90,84.16,84,6.888,7,91.918,96,34.93,37,58.583,74,74.03116,74,38.56562,38,143.71,132,49.292,53
15061808,35.684,48,115.703,118,53.236,66,37.409,47,325.392,352,41.551,36,43.923,46,314.2,323,51.652,57,32.663,32,96.261,84,46.026,81,9.578,10,80.267,96,87.792,88,5.351,4,92.655,94,35.029,29,77.761,17,52.5405,50,36.6842,44,132.16,117,50.947,54
15061600,46.045,44,118.971,117,60.182,54,29.507,43,307.032,319,38.624,61,49.576,40,322.119,326,50.861,63,26.138,29,105.199,17,43.719,35,12.315,18,84.819,90,89.223,84,5.687,7,98.512,96,37.646,32,81.165,84,74.5035,81,41.52608,44,121.402,117,52.093,54
15061730,43.907,28,119.293,115,57.795,50,33.815,39,309.434,319,38.993,42,47.152,45,318.193,305,48.871,52,27.771,19,63.164,5,46.721,27,17.903,18,81.327,90,85.967,84,5.89,7,95.565,96,33.642,41,106.385,86,61.31631,80,21.66771,16,309.005,359,31.694,28
15061623,46.688,48,116.381,118,60.879,66,28.581,20,310.237,307,32.859,26,43.089,40,311.611,308,58.348,38,30.896,32,127.609,25,49.129,42,20.79,6,92.514,71,84.258,92,6.311,7,95.002,96,35.674,42,102.214,96,60.53869,80,36.69403,44,141.615,117,51.098,54
15061405,43.516,28,116.538,115,58.196,50,36.081,20,319.001,307,40.924,26,48.431,45,318.933,310,46.347,58,30.62,36,161.086,346,45.014,42,9.075,6,70.297,71,89.782,92,5.76,4,96.472,94,33.492,35,116.888,17,67.55219,75,42.37221,44,110.654,117,54.336,54
15061299,43.516,44,116.538,117,58.196,54,36.081,40,319.746,309,40.924,43,48.431,43,319.182,319,46.347,61,30.62,33,187.39,10,45.014,43,9.075,6,70.297,71,89.782,92,5.827,7,96.472,96,33.492,26,116.888,80,68.021,82,42.27606,44,110.654,117,54.336,54
15061578,43.82,44,120.365,117,58.208,54,29.571,55,313.148,329,31.793,36,48.66,43,316.909,319,45.012,61,21.328,16,249.221,3,49.129,30,17.842,6,82.775,71,86.563,92,6.781,4,93.352,94,36.834,36,110.351,83,77.26619,79,27.21194,16,190.583,359,44.463,28
15061476,47.675,50,116.538,115,58.471,71,32.744,26,307.032,314,36.621,33,47.705,42,313.918,312,45.576,49,29.087,22,104.109,344,39.48,27,14.787,6,91.816,71,87.272,92,7.487,4,92.632,94,37.845,42,94.359,96,69.57532,80,23.38935,16,275.551,359,36.441,28
15061765,47.198,48,115.558,118,59.863,66,27.395,20,309.966,307,30.476,26,22.55,6,118.67,71,79.022,92,29.462,11,177.556,318,41.581,28,17.149,18,93.67,90,85.613,84,6.885,4,94.975,94,35.843,42,106.254,86,62.46076,84,35.01897,44,137.402,117,50.47,54
15062111,43.325,38,116.774,132,58.436,53,41.024,20,323.219,307,37.641,26,49.286,58,324.295,322,45.462,43,29.974,33,67.393,349,35.592,62,18.405,26,83.629,94,84.16,84,5.89,7,91.126,96,35.234,36,92.607,86,65.10113,43,37.96935,16,152.994,359,47.882,28
15061397,45.996,38,115.977,132,60.491,53,26.491,42,307.032,304,31.99,58,50.02,6,319.709,71,45.576,92,20.225,26,152.17,342,36.2,50,7.365,26,68.528,94,90.658,84,5.276,7,92.815,96,36.378,37,90.237,74,77.25967,74,20.94505,44,305.545,117,33.469,54
