"Registro","CTallo","CPFlor","CBaya","CPTuber","CSTuber","CPulpa","CSPulpa","CPBrote","CSBrote"
"15061384","N77A","N82A","144A","N187A","162B","155A","83A","N92B","NN155D"
"15061385","N77A","N82B","144A","N187A","162B","155A","79A","N92C","NN155A"
"15061386","144A","90B","144B","N77A",NA,"160D",NA,"N92C","NN155D"
"15061388","144A","N82C","143B","183B","161C","155A",NA,"72C","NN155A"
"15061389","N77A","N81B","144B","N187A","162A","160D",NA,"94B","NN155A"
"15061390","N77A","N81B","144A","N187A","162B","160D",NA,"N92C","NN155A"
"15061391","N77A","N81A","144A","N77A","162B","160D",NA,"NN155A","86A"
"15061392","144A","92A","144A","176B","N77B","160C",NA,"90B","NN155D"
"15061393","144A","90B","146B","184B",NA,"160D",NA,"N92C",NA
"15061394","144A","155A","144B","N77D",NA,"160C",NA,"N92C","NN155D"
"15061396","N77A","N88B","144B","N186A","162B","155A","N79A","N92C","NN155A"
"15061397","144A","155A","143A","N77D","164C","160C",NA,"94C","NN155D"
"15062353","144A","N81B","143B","162A","178A","160D",NA,"72B","NN155A"
"15061400","144A","N81B","N144A","161B","184B","160D",NA,"N78B","NN155D"
"15061401","144A","N82A","144B","N77A",NA,"160D",NA,"N92D","NN155B"
"15062099","144A","N81B","144A","N79A",NA,"160C",NA,"90A","NN155A"
"15062100","144A","N87C","144A","160A","181B","155A",NA,"N80B","NN155A"
"15062101","N77A","90B","144B","184B",NA,"160D",NA,"N92C",NA
"15062102","144A","155A","143B","161B","174C","155A",NA,"N82B","NN155A"
"15061404","200A","N81A","144B","N187A","160B","160D","79B","N92C","N79C"
"15061405","144A","N88C","146B","N77B",NA,"155A",NA,"N92C","NN155A"
"15061406","144A","N82A","144A","183A","162C","160D",NA,"N92C","NN155D"
"15061410","144A","N81A","144A","181A","162C","155A",NA,"71A",NA
"15061411","144A","83C","146B","N77D","160B","NN155A",NA,"N92C","NN155A"
"15061413","N77A","N82C","144C","N186A","162A","160D","N79B","N92C","NN155A"
"15062103","144A","N81A","143A","162A","N79A","160C",NA,"86B","NN155A"
"15061414","N77A","N82C","144B","162A","187A","160D","N77B","83B","NN155A"
"15062104","144A","N88A","143B","161B","N185A","160D","79C","N92C","NN155A"
"15062105","N77A","83C","144A","N186C","160A","155C","N79A","N92C","NN155A"
"15061415","144A","N87A","143A","181A",NA,"160D",NA,"N78A","NN155D"
"15062106","200A","N81A","144A","N187A",NA,"160D","N79B","N92C","N79C"
"15061416","144A","N82C","144A","183B","160A","155C",NA,"N92C","NN155D"
"15061417","N77A","N81C","143B","N186A","162A","162D","N77D","83A","NN155B"
"15061418","N77A","N81C","144B","162A","N186C","155A","N77B","83A","NN155A"
"15061419","N77A","N87A","144A","N186A","160A","155C","83A","N92C","NN155A"
"15061420","144A","83B","144A","162A","N186C","155A",NA,"90C","NN155D"
"15061421","144A","92B","144B","183A","161A","160D",NA,"N92C","NN155D"
"15062366","144A","84A","144B","N79B","161A","155C",NA,"N92D","NN155A"
"15062107","144A","83C","143A","N77D","161B","155C",NA,"N92D","NN155A"
"15062108","N77A","84A","144A","N186A","162B","155A","N79B","N92D","NN155A"
"15061422","144A","N80B","144A","N186C","162B","155A",NA,"72A","NN155A"
"15061423","144A","N82B","144A","183B","162B","155A",NA,"83A","NN155A"
"15061424","N77A","N81C","144A","N186C","160A","160C","79B","92B","NN155D"
"15061425","144A","N82B","144A","183C","160A","160D",NA,"N78B","NN155D"
"15062109","144A","N82A","144C","178A","162A","160D",NA,"N78C","NN155A"
"15062110","N77A","N82B","146B","178A",NA,"160D",NA,"72A","NN155A"
"15062111","N77A","N82A","143A","186C",NA,"160C",NA,"N92C","NN155D"
"15062112","N77A","N82A","N144A","186A","162B","155C","N79A","N92C","NN155A"
"15061428","144A","N82B","144B","183C","160A","160D",NA,"N78B","NN155A"
"15062354","144A","N82B","N144B","161A","178A","160C",NA,"N78A","NN155A"
"15061951","144A","N82C","N144A","181A","162B","160D",NA,"N78B","NN155A"
"15061430","144A","N80A","144A","181A","162A","160D",NA,"N78A","NN155A"
"15061434","N77A","N82B","146A","183B",NA,"160D",NA,"72A","NN155D"
"15061435","N77A","N82A","144A","184B","186A","160D",NA,"92C",NA
"15061436","144A","N81C","146B","162A",NA,"155A",NA,"90B","NN155A"
"15062114","N77A","N82A","144C","162A","N186A","160D",NA,"90D","NN155D"
"15061952","N77A","83B","144B","183A","162B","160D",NA,"N92D","NN155A"
"15062115","N77A","N82B","144B","160A","N186A","160D",NA,"90C","NN155A"
"15061437","144A","83B","144C","160A","N77D","155A",NA,"N92D",NA
"15061438","200A","N81C","144A","N186A","162C","155A","N77D","N92D","N78B"
"15061439","144A","83B","144A","162A","N77A","160D",NA,"N92B","NN155A"
"15061441","N77A","83C","144B","160A","N186A","160D",NA,"92B","NN155D"
"15061442","144A","83A","144B","N77C","160B","155A",NA,"90A","NN155A"
"15061443","144A","84A","144C","162A","182A","160D",NA,"72C","NN155A"
"15062367","N77A","N87A","144C","161A","N186A","160D",NA,"N92D","NN155A"
"15061444","144A","N81A","143C","187A",NA,"155A",NA,"N92C","NN155A"
"15061445","200A","83C","144A","160A","186A","160D",NA,"90A","NN155A"
"15061953","200A","N82A","N144A","N77A","162B","155A","N79A","N92C","NN155A"
"15061447","144A","N81C","143A","183A","160A","155A",NA,"N79B","NN155A"
"15061449","144A","N88C",NA,"186B","160A","160D",NA,"N92C","NN155D"
"15061453","N77A","N82A","146B","N186A","160A","160D",NA,"90B","NN155A"
"15061454","144A","N88B","144A","187A","160A","160D",NA,"90A","NN155A"
"15062117","144A","N82A","144B","183C","162D","160D",NA,"N78A","NN155D"
"15062118","144A","N87C","144B","183C","161A","160D",NA,"N78A","NN155A"
"15061458","144A","N87D","144B","181B","162A","160C",NA,"N78B","NN155D"
"15061459","200A","N87B","146B","N186A","160A","155A",NA,"N92D",NA
"15061461","144A","N88C","N144A","160A","183C","160C",NA,"N78B","NN155D"
"15062368","144A","N87B","N144A","178A","162A","160C",NA,"N78B","NN155D"
"15062119","N77A","N88B","144B","N186A","161A","155A","N77B","N92C","NN155A"
"15061462","144A","90B","145A","162A","N79A","157A",NA,"94B","NN155D"
"15061954","144A","N82B","143A","184A","162B","160D",NA,"N78A","NN155A"
"15061463","144A","N82C","144A","N77A","160A","157A",NA,"N92D","NN155A"
"15061469","144A","N87B","146C","N77B",NA,"157A",NA,"90B","NN155A"
"15061470","144A","N82C","144B","N77D","164D","155A",NA,"83A","NN155A"
"15061471","137C","N87C","144A","N77B","162C","155A",NA,"N92D","NN155D"
"15061475","144A","91B","144C","183B","160A","160D",NA,"N92C",NA
"15061476","N77A","90C","144C","N79A","160A","155A",NA,"N92D","NN155A"
"15061477","144A","N88B","145A","N186A","162D","155A","83A","N92C",NA
"15061478","N77A","N82C","144A","N186A","160A","157A","83A","N92C","NN155A"
