Prefix,HCL_component,Traits,Models,Predictive_ability
CBaya,H,CBaya.H,RF,0.035
CBaya,H,CBaya.H,RF,0.114
CBaya,H,CBaya.H,RF,-0.081
CBaya,H,CBaya.H,RF,0.138
CBaya,H,CBaya.H,RF,0.097
CBaya,H,CBaya.H,RF,0.254
CBaya,H,CBaya.H,RF,0.048
CBaya,H,CBaya.H,RF,-0.046
CBaya,H,CBaya.H,RF,0.052
CBaya,H,CBaya.H,RF,0.357
CBaya,H,CBaya.H,RF,-0.04
CBaya,H,CBaya.H,RF,0.014
CBaya,H,CBaya.H,RF,0.295
CBaya,H,CBaya.H,RF,0.091
CBaya,H,CBaya.H,RF,0.05
CBaya,H,CBaya.H,RF,0.122
CBaya,H,CBaya.H,RF,0.003
CBaya,L,CBaya.L,BA,0.034
CBaya,L,CBaya.L,BA,0.048
CBaya,L,CBaya.L,BA,0.105
CBaya,L,CBaya.L,BA,0.001
CBaya,L,CBaya.L,BA,0.127
CBaya,L,CBaya.L,BA,0.204
CBaya,L,CBaya.L,BA,0.032
CBaya,L,CBaya.L,BA,0.088
CBaya,L,CBaya.L,BA,-0.009
CBaya,L,CBaya.L,BA,0.191
CBaya,L,CBaya.L,BA,0.05
CBaya,L,CBaya.L,BA,0.047
CBaya,L,CBaya.L,BA,0.086
CBaya,L,CBaya.L,BA,0.22
CBaya,L,CBaya.L,BA,0.078
CBaya,L,CBaya.L,BA,0.125
CBaya,L,CBaya.L,BA,0.034
CBaya,L,CBaya.L,BA,0.14
CBaya,L,CBaya.L,BA,0.024
CBaya,L,CBaya.L,BA,0.188
CBaya,L,CBaya.L,BA,0.184
CBaya,L,CBaya.L,BA,0.173
CBaya,L,CBaya.L,BA,-0.069
CBaya,L,CBaya.L,BA,0.087
CBaya,L,CBaya.L,BA,0.041
