,BA,BB
15061912,37.323,37.417
15061915,39.294,39.353
15061917,37.185,36.916
15061918,35.285,35.467
15061926,32.784,33.033
15061927,37.869,36.532
15061928,32.654,33.529
15061929,31.934,33.381
15061930,35.096,35.375
15061933,34.586,34.504
15061934,35.544,35.319
15061935,39.196,39.31
15061937,36.701,35.919
15061939,33.343,33.14
15061941,38.408,37.406
15061942,33.286,34.054
15061944,36.394,37.094
15061945,37.203,36.918
15061946,32.471,32.707
15061948,34.571,34.508
15061949,35.107,34.759
15061951,37.224,36.914
15061952,35.561,35.35
15061953,30.287,30.532
15061958,35.54,35.391
15061960,33.177,33.142
15061961,30.253,30.497
15061962,39.331,39.385
15061963,33.341,33.203
15061965,34.84,34.005
15061966,33.542,33.646
15061967,34.192,33.59
15061968,33.704,33.884
15062036,32.825,33.151
15062038,37.313,36.995
15062039,35.606,35.971
15062046,37.347,37.422
15062050,40.16,40.134
15062051,37.193,36.909
15062067,37.944,37.393
15062069,34.338,34.557
15062071,31.082,31.795
15062080,35.683,35.505
15062092,34.479,34.472
15062094,30.325,30.588
15062097,36.997,36.817
15062099,34.814,34.559
15062100,36.541,35.32
15062101,33.991,33.616
15062102,37.145,36.563
15062103,33.315,33.301
15062105,30.327,30.529
15062106,33.309,33.176
15062107,33.848,33.4
15062108,33.32,33.19
15062109,37.204,36.924
15062111,33.621,33.819
15062112,30.322,30.559
15062114,32.249,32.673
15062117,37.195,36.917
15062118,37.258,36.922
15062122,37.448,36.957
15062124,30.411,31.044
15062126,31.74,32.162
15062130,36.233,36.752
15062136,38.134,38.001
15062137,33.22,33.169
15062138,31.165,31.401
15062139,38.708,38.341
15062142,41.535,40.697
15062145,34.2,34.372
15062146,29.688,30.096
15062149,38.533,38.25
15062150,31.64,31.899
15062151,33.896,34.261
15062152,33.293,33.223
15062153,33.361,33.201
15062331,34.759,35.188
15062332,35.102,35.376
15062333,32.779,33.213
15062334,35.283,35.442
15062335,37.574,37.816
15062337,37.231,36.857
15062338,37.195,36.932
15062346,37.286,36.61
15062347,35.444,35.334
15062348,37.223,36.924
15062349,35.442,35.717
15062350,35.053,34.739
15062351,32.672,32.907
15062353,38.422,37.44
15062354,37.213,36.927
15062356,29.536,30.025
15062357,30.306,30.532
15062358,33.39,33.221
15062360,37.871,37.356
15062361,33.711,33.86
15062363,35.748,36.034
15062366,37.616,37.285
15062367,32.212,32.672
15062368,37.227,36.915
15062369,38.583,38.296
15062370,35.298,35.654
