Prefix,HCL_component,Traits,Models,Predictive_ability
CPTuber,C,CPTuber.C,BRR,0.452
CPTuber,C,CPTuber.C,GBLUP,0.443
CPTuber,C,CPTuber.C,GBLUP,0.456
CPTuber,C,CPTuber.C,GBLUP,0.489
CPTuber,C,CPTuber.C,GBLUP,0.456
CPTuber,C,CPTuber.C,EGBLUP,0.518
CPTuber,C,CPTuber.C,EGBLUP,0.481
CPTuber,C,CPTuber.C,EGBLUP,0.459
CPTuber,C,CPTuber.C,EGBLUP,0.487
CPTuber,C,CPTuber.C,RKHS,0.531
CPTuber,C,CPTuber.C,RKHS,0.467
CPTuber,C,CPTuber.C,RKHS,0.522
CPTuber,C,CPTuber.C,RKHS,0.488
CPTuber,C,CPTuber.C,Lasso,0.43
CPTuber,C,CPTuber.C,Lasso,0.44
CPTuber,C,CPTuber.C,Lasso,0.381
CPTuber,C,CPTuber.C,Lasso,0.394
CPTuber,C,CPTuber.C,RR,0.386
CPTuber,C,CPTuber.C,RR,0.538
CPTuber,C,CPTuber.C,RR,0.528
CPTuber,C,CPTuber.C,RR,0.467
CPTuber,C,CPTuber.C,SVM,0.492
CPTuber,C,CPTuber.C,SVM,0.588
CPTuber,C,CPTuber.C,SVM,0.5
CPTuber,C,CPTuber.C,SVM,0.512
CPTuber,C,CPTuber.C,RF,0.521
CPTuber,C,CPTuber.C,RF,0.496
CPTuber,C,CPTuber.C,RF,0.428
CPTuber,C,CPTuber.C,RF,0.472
CPTuber,H,CPTuber.H,BA,0.343
CPTuber,H,CPTuber.H,BA,0.402
CPTuber,H,CPTuber.H,BA,0.398
CPTuber,H,CPTuber.H,BA,0.308
CPTuber,H,CPTuber.H,BB,0.287
CPTuber,H,CPTuber.H,BB,0.325
CPTuber,H,CPTuber.H,BB,0.178
CPTuber,H,CPTuber.H,BB,0.238
CPTuber,H,CPTuber.H,BC,0.413
CPTuber,H,CPTuber.H,BC,0.408
CPTuber,H,CPTuber.H,BC,0.385
CPTuber,H,CPTuber.H,BC,0.359
CPTuber,H,CPTuber.H,BL,0.357
CPTuber,H,CPTuber.H,BL,0.413
CPTuber,H,CPTuber.H,BL,0.341
CPTuber,H,CPTuber.H,BL,0.405
CPTuber,H,CPTuber.H,BRR,0.424
CPTuber,H,CPTuber.H,BRR,0.368
CPTuber,H,CPTuber.H,BRR,0.278
CPTuber,H,CPTuber.H,BRR,0.342
CPTuber,H,CPTuber.H,GBLUP,0.368
CPTuber,H,CPTuber.H,GBLUP,0.352
CPTuber,H,CPTuber.H,GBLUP,0.331
CPTuber,H,CPTuber.H,GBLUP,0.395
CPTuber,H,CPTuber.H,EGBLUP,0.468
CPTuber,H,CPTuber.H,EGBLUP,0.418
CPTuber,H,CPTuber.H,EGBLUP,0.456
CPTuber,H,CPTuber.H,EGBLUP,0.351
CPTuber,H,CPTuber.H,RKHS,0.391
CPTuber,H,CPTuber.H,RKHS,0.509
CPTuber,H,CPTuber.H,RKHS,0.44
CPTuber,H,CPTuber.H,RKHS,0.444
CPTuber,H,CPTuber.H,Lasso,0.388
CPTuber,H,CPTuber.H,Lasso,0.388
CPTuber,H,CPTuber.H,Lasso,0.368
CPTuber,H,CPTuber.H,Lasso,0.371
CPTuber,H,CPTuber.H,RR,0.383
CPTuber,H,CPTuber.H,RR,0.391
CPTuber,H,CPTuber.H,RR,0.473
CPTuber,H,CPTuber.H,RR,0.351
CPTuber,H,CPTuber.H,SVM,0.34
CPTuber,H,CPTuber.H,SVM,0.414
CPTuber,H,CPTuber.H,SVM,0.329
CPTuber,H,CPTuber.H,SVM,0.278
